Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title,av_covalent_radius_cordero,av_nvalence_,var_covalent_radius_cordero,var_nvalence_,STY0,n
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.3368,0.842,101016jjcat201904032,1,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.7167586749827215,1,P-V-Si,129.8316769387775,5.0,528.9716673470607,0.0,1.701361102234925,0.0025369210833562942
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,3.0,0.0,0.045,0.44,633,1,0.2795,0.8385,101038s41598019531808,1,0.0894192160856169,0.0298064053618723,0.0098155368198715,0.067124092826066,1.4995602537557955,1,P-V-Si,121.36823156187278,4.545696397993304,378.1695684934254,0.2479118392104376,1.2870167992455683,0.0029140891529994117
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.159,0.3975,101039c9cc08700a,UnsupportedVPO,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.437488876486817,1,P-V-Si,130.0,5.0,529.0,0.0,2.386047479051758,0.001042949391167265
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.188,0.47,101039c9cc08700a,33%VPO-MCF,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.882062319368061,1,P-V-Si,121.36823156187278,4.545696397993304,378.1695684934254,0.2479118392104376,2.91654900221662,0.015300252850369504
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.204,0.51,101039c9cc08700a,33%VPO-SilicaHP,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.1273442188887466,1,P-V-Si,121.36823156187278,4.545696397993304,378.1695684934254,0.2479118392104376,3.185255874704417,0.008864264135975027
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.212,0.53,101039c9cc08700a,gammaVPO-deltaVPO-3-1,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.24998516864909,1,P-V-Si,130.0,5.0,529.0,0.0,3.2723414528593855,0.021979602203169277
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015775924799303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.2845499999999999,0.7113749999999999,101021acssuschemeng0c05916,1,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.4504266061945768,1,P-V-Si,144.4175729128198,4.516516183400643,500.5060872618874,0.2497272156858764,1.4096699318274772,0.0005518438270209953
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0447511737987761,0.0,0.0,0.1078383854360289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7447072165404055,0.1027032242247894,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,1.3333333333333333,633,1,0.2510936,0.627734,101039d2ra06960a,V-Ti-Nb,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.84929469784296,1,P-V-Si,147.48070779411776,4.60663406063087,475.462292013753,0.2386291771133719,3.7199327729109712,0.0010543099208608095
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414603541786402,0.0,0.0,0.0,0.0,0.1082098872530035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7472727230893051,0.103057035479051,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,1.3333333333333333,633,1,0.2314884,0.578721,101039d2ra06960a,V-Ti-Mo,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.548744654312774,1,P-V-Si,145.75553408874174,4.770929394318562,435.0847821626755,0.5083505737074097,3.352557848131912,0.0064312025351503585
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1099378604615934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7592057107098282,0.1047027242491366,0.0261537045794417,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,1.3333333333333333,633,1,0.1822952199999999,0.4557380499999999,101039d2ra06960a,V-Ti-W,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.794607364696334,1,P-V-Si,146.74543587860816,4.743154291866009,471.20530260189486,0.4849294953096394,2.6460543759143498,0.002430352113950743
0.0,0.0,0.0,0.0260288539352753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109951954895963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7593030436487969,0.1047161475199648,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,1.3333333333333333,633,1,0.1463668799999999,0.3659171999999999,101039d2ra06960a,V-Ti-Bi,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.2438216470822687,1,P-V-Si,144.68634374292247,4.596040058362389,433.0778370977575,0.2407763071897489,2.0911292877424774,0.007964754034120532
