Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.0,,648,1,0.3279999999999999,0.82,10.1016/0021-9517(87)90285-5,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.0,,623,1,0.3052,0.763,10.1016/0021-9517(87)90285-5,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,MAc,FORM,MeOH + H$_2$O,1.825,0.0,0.0,,653,1,0.1638356164383561,0.299,10.1016/0021-9517(87)90285-5,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.4384210526315789,0.98,10.1016/0021-9517(87)90285-5,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.4066578947368421,0.909,10.1016/0021-9517(87)90285-5,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,MAc,TRX,None,1.8133333333333328,0.0,0.0,,653,1,0.1996323529411764,0.362,10.1016/0021-9517(87)90285-5,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666666,0.0,0.0,0.0416666666666666,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.3355263157894737,0.75,10.1016/0021-9517(87)90285-5,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666666,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.3176315789473684,0.71,10.1016/0021-9517(87)90285-5,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454546,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.3713157894736842,0.83,10.1016/0021-9517(87)90285-5,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106382978723405,0.0,0.0,0.0,0.0,0.0,0.0,0.0638297872340425,0.0,0.425531914893617,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.1968421052631579,0.44,10.1016/0021-9517(87)90285-5,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,HAc,TRX,None,2.1028571428571428,0.0,0.0,,573,1,0.2686820652173913,0.565,10.1016/S0166-9834(00)80265-1,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,HAc,TRX,None,2.1028571428571428,0.0,0.0,,573,1,0.3091032608695652,0.65,10.1016/S0166-9834(00)80265-1,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,HAc,TRX,None,2.1028571428571428,0.0,0.0,,573,1,0.3138586956521739,0.66,10.1016/S0166-9834(00)80265-1,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,HAc,TRX,None,2.1028571428571428,0.0,0.0,,573,1,0.255366847826087,0.537,10.1016/S0166-9834(00)80265-1,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,HAc,TRX,None,2.1028571428571428,0.0,0.0,,573,1,0.2216032608695652,0.466,10.1016/S0166-9834(00)80265-1,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,HAc,TRX,None,2.1028571428571428,0.0,0.0,,593,1,0.2894157608695652,0.6086,10.1016/S0166-9834(00)82351-9,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,HAc,TRX,None,2.1028571428571428,0.0,0.0,,593,1,0.3883288043478261,0.8166,10.1016/S0166-9834(00)82351-9,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1428571428571428,0.0,0.0,0.0,HAc,TRX,None,2.1028571428571428,0.0,0.0,,593,1,0.4168138586956522,0.8765,10.1016/S0166-9834(00)82351-9,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,HAc,TRX,None,2.1028571428571428,0.0,0.0,,593,1,0.3733016304347826,0.785,10.1016/S0166-9834(00)82351-9,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,HAc,TRX,None,2.1028571428571428,0.0,0.0,,593,1,0.4373573369565217,0.9197,10.1016/S0166-9834(00)82351-9,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,MAc,DMM,None,2.0,0.0,0.0,,613,1,0.225,0.53,10.1016/S0167-2991(08)61662-6,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,MAc,DMM,None,2.0,0.0,0.0,,613,1,0.425,0.85,10.1016/S0167-2991(08)61662-6,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2372881355932203,0.0,0.0,0.0,0.6779661016949152,0.0,0.0,0.0,0.0,0.0847457627118644,0.0,0.0,0.0,MAc,DMM,None,2.0,0.0,0.0,,613,1,0.2,0.49,10.1016/S0167-2991(08)61662-6,,,,,,,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,MAc,DMM,None,2.0,0.0,0.0331491712707182,,613,1,0.62,1.24,10.1016/S0167-2991(08)61662-6,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,MAc,FORM,MeOH + H$_2$O,2.5,0.0,0.1,,633,1,0.389341493090413,0.9733537327260324,10.1016/j.jcat.2014.04.005,,,,,,,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.3368,0.842,10.1016/j.jcat.2019.04.032,1,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.7167586749827215,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,2.216666666666667,633,1,0.1672,0.418,10.1016/j.jcat.2019.04.032,,0.4247720395345215,0.1699088158138086,0.0559526121111724,0.3826350405621886,4.261313100610319,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.15,0.375,10.1016/j.jcat.2019.04.032,,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,0.7645896711621386,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.2188,0.547,10.1016/j.jcat.2019.04.032,,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.1152814670018396,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.2608,0.652,10.1016/j.jcat.2019.04.032,,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.3293665749272383,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.2588,0.647,10.1016/j.jcat.2019.04.032,,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.31917204597841,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.2804,0.701,10.1016/j.jcat.2019.04.032,,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.4292729586257575,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.218,0.545,10.1016/j.jcat.2019.04.032,,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.111203655422308,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,3.0,0.0,0.045,0.44,633,1,0.2795,0.8385,10.1038/s41598-019-53180-8,1,0.0894192160856169,0.0298064053618723,0.0098155368198715,0.067124092826066,1.4995602537557955,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,3.0,0.0,0.0225,0.44,633,1,0.2475,0.7424999999999999,10.1038/s41598-019-53180-8,,0.0894192160856169,0.0298064053618723,0.0098155368198715,0.067124092826066,1.327875358871411,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,3.0,0.0,0.045,1.32,633,1,0.1975,0.5925,10.1038/s41598-019-53180-8,,0.2682576482568507,0.0894192160856169,0.0294466104596146,0.2013722784781981,3.178853131843681,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,3.0,0.0,0.045,0.44,633,1,0.2037699999999999,0.6113099999999999,10.1038/s41598-019-53180-8,,0.0894192160856169,0.0298064053618723,0.0098155368198715,0.067124092826066,1.0932572197059691,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,3.0,0.0,0.045,0.44,633,1,0.165676,0.497028,10.1038/s41598-019-53180-8,,0.0894192160856169,0.0298064053618723,0.0098155368198715,0.067124092826066,0.88887708265204,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,TRX,None,2.5,0.0,0.0225,0.44,633,1,0.20983419,0.524585475,10.1038/s41598-019-53180-8,,0.1281995515459812,0.0512798206183924,0.0,0.0,1.6140389434208529,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,DMM,None,2.5,0.0,0.0225,0.44,633,1,0.1784,0.446,10.1038/s41598-019-53180-8,,0.0792097683275758,0.0316839073310303,0.0,0.0,0.8478613601783715,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.159,0.3975,10.1039/C9CC08700A,UnsupportedVPO,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.437488876486817,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.188,0.47,10.1039/C9CC08700A,33%VPO-MCF,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.882062319368061,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.204,0.51,10.1039/C9CC08700A,33%VPO-SilicaHP,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.1273442188887466,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.158,0.395,10.1039/C9CC08700A,,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.4221587577667747,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.198,0.495,10.1039/C9CC08700A,,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.0353635065684896,1,Si-P-V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.212,0.53,10.1039/C9CC08700A,gammaVPO-deltaVPO-3-1,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.24998516864909,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015775924799303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.0,0.4433333333333333,633,1,0.19838,0.49595,10.1021/acssuschemeng.0c05916,,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.0111953264343003,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015775924799303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.2845499999999999,0.7113749999999999,10.1021/acssuschemeng.0c05916,1,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.4504266061945768,3,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015775924799303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.11895,0.297375,10.1021/acssuschemeng.0c05916,,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,0.6063196092315759,3,P-V-Ti
