Al,Al2O3,B,Ba,Bi,Bi2O3,Ca,Ce,CeO2,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,MoO3,Na,Nb,Nb2O5,Nd,Ni,P,Rb,SO4,Sb,Sb2O3,Si,SiO2,Siloxane,SnO2,Sr,Te,Ti,TiO2,V,W,WO3,Zn,Zr,ZrO2,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,g_cat,Fa_mmolmin,Ac_mmolmin,Y_Acryl_Ac,Y_Acryl_Fa,STY_Acryl_mmolhg,doi,Link_to_excel,Density,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg_Ac,STY_Acryl_mmolhg_Fa,Cluster_n,Cluster_title,STY_Acryl_mmolhg_t,S_Ac_Acryl_t,S_Fa_Acryl_t,Time_h_t,X_Ac_t,X_Fa_t,Y_Ac_Acryl_t,Y_Fa_Acryl_t
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,0.4433333333333333,633,1,3.0,0.1018814263843573,0.2547035659608932,0.3368,0.842,1.7156832203125765,101016jjcat201904032,1,1.0636978963103263,0.0849544079069042,0.0339817631627617,0.0,0.0,1.7167586749827215,1.7167586749827215,1,P-V-SiO2,"[1.7087534  1.6994206  1.67527717 1.65658887 1.62666065 1.5704934
 1.51934248 1.53933561 1.49932763 1.47764656 1.36564241 1.33149594]",,,"[  2.60893547   7.35532936  10.28942486  12.7082614   17.71573986
  22.32903776  27.55453041  42.58386401  52.64699393  72.73106926
  92.68043925 112.34369772]",,,"[33.52294966 33.33985536 32.86620071 32.49956675 31.91242394 30.81051435
 29.80701683 30.19924942 29.41435817 28.9890111  26.79167259 26.12177463]","[83.80737416 83.34963839 82.16550178 81.24891688 79.78105985 77.02628588
 74.51754209 75.49812355 73.53589541 72.47252775 66.97918148 65.30443657]"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",3.0,0.0,0.045,0.44,633,1,3.0,0.0893598115095952,0.2680794345287857,0.2795,0.8385,1.4985640390159125,101038s41598019531808,1,1.06210584973537,0.0894192160856169,0.0298064053618723,0.0,0.0,1.4995602537557955,1.4995602537557955,1,P-V-SiO2,"[1.34387261 1.27667902 1.24308218 1.17071983 1.14746046 1.13712303
 1.18105725 1.12420118 1.12678551 1.02599503 1.01307318 1.03116379]",,,"[ 4.82238847  7.40581157  9.81700252 19.80623719 24.80085781 29.79547843
 39.78471967 49.77394777 64.93003521 74.91926331 87.31970207 99.89235326]",,,"[25.04816951 23.79576181 23.16955705 21.82080988 21.38728315 21.19460603
 22.01348699 20.95375825 21.00192707 19.1233137  18.88246592 19.21965317]","[75.14450853 71.38728544 69.50867115 65.46242963 64.16184944 63.58381809
 66.04046098 62.86127476 63.00578122 57.36994109 56.64739776 57.65895952]"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.039,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.159,0.3975,2.435961924077114,101039c9cc08700a,UnsupportedVPO,1.0636978963103263,0.2555019786673813,0.1022007914669525,0.0,0.0,2.437488876486817,2.437488876486818,1,P-V-SiO2,[2.42864815 2.35584738 2.33703783 2.31787153 2.36295507],[90.61951794 92.65323657 93.89336286 93.67601096 93.88799854],,[ 3.54124789  5.05090316  8.05205162 14.05926628 21.46513991],[17.48225037 16.58597627 16.23623506 16.14044318 16.41722933],,[15.84233101 15.36744383 15.2447471  15.11972332 15.41380804],[39.60582752 38.41860958 38.11186776 37.79930829 38.53452009]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.039,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.188,0.47,2.880256866204387,101039c9cc08700a,33%VPO-MCF,1.0636978963103263,0.2555019786673813,0.1022007914669525,0.0,0.0,2.882062319368061,2.882062319368061,1,P-V-SiO2,[2.8460086  2.70210646 2.5225462  2.32690744 2.27464112],[86.14982168 88.52204526 89.97259501 92.74945256 94.02922189],,[ 3.5469401   5.05632741  7.97088219 13.97643012 21.5012633 ],[21.54945579 19.9115697  18.28872228 16.36523462 15.77991012],,[18.56481774 17.62612874 16.45483803 15.17866552 14.8377267 ],[46.41204435 44.06532185 41.13709507 37.94666379 37.09431674]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.039,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.204,0.51,3.1253851101366745,101039c9cc08700a,33%VPO-SilicaHP,1.0636978963103263,0.2555019786673813,0.1022007914669525,0.0,0.0,3.1273442188887466,3.127344218888747,1,P-V-SiO2,[3.09769976 3.07913357 2.95524287 2.77186967 2.71745525],[89.6310003  91.03383588 91.88450457 93.72949995 95.32518058],,[ 3.49931976  5.02667955  7.99022928 14.03102601 21.53001007],[22.54423797 22.06379263 20.97999506 19.29083332 18.59555937],,[20.206626   20.08551677 19.27736452 18.0812016  17.72625055],[50.51656501 50.21379192 48.19341129 45.20300401 44.31562636]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.039,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.212,0.53,3.247949232102819,101039c9cc08700a,gammaVPO-deltaVPO-3-1,1.0636978963103263,0.2555019786673813,0.1022007914669525,0.0,0.0,3.24998516864909,3.2499851686490904,1,P-V-SiO2,[3.21015951 2.86062466 2.67026737 2.40686541 2.35396244],[85.05820714 86.94980926 88.36458846 90.08034351 90.49240181],,[ 3.51194328  5.05705182  7.96925668 13.94913218 21.42876915],[24.61868607 21.46084049 19.71201273 17.42915185 16.96843916],,[20.94021299 18.66015987 17.41843893 15.70023985 15.35514814],[52.35053248 46.65039967 43.54609732 39.25059963 38.38787036]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,0.4433333333333333,633,1,3.0,0.1018814263843573,0.2547035659608932,0.2845499999999999,0.7113749999999999,1.4495179938834433,101021acssuschemeng0c05916,1,1.0636978963103263,0.0849544079069042,0.0339817631627617,0.0,0.0,1.4504266061945768,1.4504266061945763,1,P-V-SiO2,"[1.45251632 1.40126758 1.36945236 1.38115276 1.36847832 1.36959907
 1.36943098 1.3457394  1.33584262 1.32881003 1.30142955 1.25769346]",,,"[  2.56808441   4.30126325   9.79979698  23.04026619  38.06733589
  46.24577036  66.03710805  85.67956237 114.54263478 138.49255583
 156.93379201 184.79133769]",,,"[28.49599673 27.49058031 26.86641753 27.0959604  26.84730853 26.86929573
 26.86599814 26.40120798 26.2070494  26.06908141 25.5319213  24.67389052]","[71.23999182 68.72645076 67.16604383 67.739901   67.11827132 67.17323933
 67.16499534 66.00301995 65.51762349 65.17270353 63.82980324 61.6847263 ]"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.2510936,0.627734,3.846883326914776,101039d2ra06960a,V-Ti-Nb,1.0636978963103263,0.2555019786673813,0.1022007914669525,0.0,0.0,3.84929469784296,3.84929469784296,1,P-V-SiO2,"[3.85597999 3.74120285 3.64474596 3.56112843 3.51351785 3.4662961
 3.45106839 3.42943548]","[91.63838817 91.7821404  91.89086058 91.82196894 92.03940929 91.93847007
 91.87330902 91.95126067]",,"[  2.27938921   4.26832906   9.92552135  19.89076465  30.05461768
  53.71895894  78.01390683 101.51936106]","[27.44806997 26.58933996 25.87315713 25.29854343 24.90134601 24.59364317
 24.50296777 24.32872954]",,"[25.1529689  24.40426533 23.77506674 23.22962069 22.91905177 22.61101926
 22.5116873  22.37057352]","[62.88242226 61.01066333 59.43766686 58.07405172 57.29762942 56.52754816
 56.27921824 55.9264338 ]"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.2314884,0.578721,3.546521561418445,101039d2ra06960a,V-Ti-Mo,1.0636978963103263,0.2555019786673813,0.1022007914669525,0.0,0.0,3.548744654312774,3.548744654312774,1,P-V-SiO2,"[3.54788285 3.27719036 3.0739631  2.83951174 2.6206176  2.44429939
 2.28807634 2.18397012]","[92.35395168 92.56936685 92.64209567 92.57331062 92.46874739 92.36770158
 92.51742276 92.59526783]",,"[  2.08868682   5.11406189   9.48827272  19.78167213  29.915805
  53.55441789  77.78854372 101.62418412]","[25.05926164 23.09345208 21.6443606  20.00839976 18.48686035 17.26190585
 16.1324923  15.38552718]",,"[23.14321838 21.37746237 20.05178926 18.52243806 17.0945682  15.94442569
 14.92536611 14.24627009]","[57.85804596 53.44365593 50.12947314 46.30609515 42.7364205  39.86106422
 37.31341527 35.61567524]"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.03,1.3333333333333333,633,1,3.0,0.3064103049153603,0.7660257622884007,0.1822952199999999,0.4557380499999999,2.7928566972406337,101039d2ra06960a,V-Ti-W,1.0636978963103263,0.2555019786673813,0.1022007914669525,0.0,0.0,2.794607364696334,2.7946073646963345,1,P-V-SiO2,"[2.77319514 2.66055524 2.54372434 2.43532454 2.35592332 2.30867173
 2.23452144 2.2008503 ]","[86.73677815 87.20253396 87.56170136 87.77903513 88.13958818 88.21753983
 88.25960672 88.37354973]",,"[  2.49981966   4.68768456   9.65607912  19.78799725  29.91928381
  53.95226892  77.58866802 101.62133876]","[20.85602918 19.90204286 18.95004894 18.0975808  17.43590992 17.07110859
 16.51494073 16.24511108]",,"[18.08984776 17.35508568 16.59298526 15.88588181 15.3679392  15.05971202
 14.57602174 14.35638132]","[45.22461941 43.3877142  41.48246315 39.71470452 38.41984801 37.64928005
 36.44005434 35.89095329]"
