Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title,STY0,n,covalent_radius_cordero,en_pauling,electron_affinity,electrophilicity_,lattice_constant,proton_affinity,vdw_radius
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.3368,0.842,101016jjcat201904032,1,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.7167586749827215,1,P-V-Ti,1.701361102183388,0.0025369210832562,129.8316769387775,1.912049150310535,0.6366144036658334,1.3429030071422963,5.110185667479857,742.2488707817313,193.40120168145634
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,3.0,0.0,0.045,0.44,633,1,0.2795,0.8385,101038s41598019531808,1,0.0894192160856169,0.0298064053618723,0.0098155368198715,0.067124092826066,1.4995602537557955,1,P-V-Ti,1.2870167989502788,0.0029140891485109,121.36823156187278,1.9054569639799332,0.9782201205758425,1.4962038533283848,5.247191706672243,785.7591082284289,200.9960094331105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.159,0.3975,101039c9cc08700a,UnsupportedVPO,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.437488876486817,1,P-V-Ti,2.386047479390542,0.001042949404624,130.0,1.91,0.6358035,1.3408643670046079,5.095,743.0999999999999,193.49999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.188,0.47,101039c9cc08700a,33%VPO-MCF,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.882062319368061,1,P-V-Ti,2.916549008676419,0.0153002531172004,121.36823156187278,1.9054569639799332,0.9782201205758425,1.4962038533283848,5.247191706672243,785.7591082284289,200.9960094331105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.204,0.51,101039c9cc08700a,33%VPO-SilicaHP,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.1273442188887466,1,P-V-Ti,3.1852558741464385,0.0088642641188638,121.36823156187278,1.9054569639799332,0.9782201205758425,1.4962038533283848,5.247191706672243,785.7591082284289,200.9960094331105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.039,1.3333333333333333,633,1,0.212,0.53,101039c9cc08700a,gammaVPO-deltaVPO-3-1,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.24998516864909,1,P-V-Ti,3.2723414614722244,0.0219796025600418,130.0,1.91,0.6358035,1.3408643670046079,5.095,743.0999999999999,193.49999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015775924799303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,0.4433333333333333,633,1,0.2845499999999999,0.7113749999999999,101021acssuschemeng0c05916,1,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.4504266061945768,1,P-V-Ti,1.4096699319228585,0.0005518438276583,144.4175729128198,1.7321694071558495,0.36701686359070135,1.1208385756389172,4.065770856403465,806.9153772106539,201.9099358600682
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0447511737987761,0.0,0.0,0.1078383854360289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7447072165404055,0.1027032242247894,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,1.3333333333333333,633,1,0.2510936,0.627734,101039d2ra06960a,V-Ti-Nb,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.84929469784296,1,P-V-Ti,3.719932773100966,0.0010543099220809,147.48070779411776,1.7128938576014292,0.4647824288751653,1.1483574779479564,3.95412912807261,799.5857549732995,204.4864892443778
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414603541786402,0.0,0.0,0.0,0.0,0.1082098872530035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7472727230893051,0.103057035479051,0.0,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,1.3333333333333333,633,1,0.2314884,0.578721,101039d2ra06960a,V-Ti-Mo,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.548744654312774,1,P-V-Ti,3.352557850132236,0.0064312025658031,145.75553408874174,1.8062386150817882,0.4348623924643926,1.1396483703108218,3.9318772129935473,799.7040285648876,204.26628860426197
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1099378604615934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7592057107098282,0.1047027242491366,0.0261537045794417,0.0,0.0,HAc,FORM,MeOH + H$_2$O,2.5,0.0,0.03,1.3333333333333333,633,1,0.1822952199999999,0.4557380499999999,101039d2ra06960a,V-Ti-W,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.794607364696334,1,P-V-Ti,2.6460543766086877,0.0024303521198684,146.74543587860816,1.730611846568243,0.43782201100938334,1.156443615511997,3.9510167011439488,800.3715812508805,204.1255530939546
