Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Year,SSA_m2g,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title,av_cov_rad,av_n_val,var_cov_rad,var_n_val,var_pca,STY0,n
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487804,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.03,0.4433333333333333,633,1,0.3368,0.842,101016jjcat201904032,1,2019,7.5,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.7167586749827215,0,P-V-Ti,129.4390243902439,5.0,528.6853063652587,0.0,-0.2133352906429726,1.6941828172297853,0.002232801032930994
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",3.0,2.5813119264746054,0.045,0.44,633,1,0.2795,0.8385,101038s41598019531808,1,2019,87.0,0.0894192160856169,0.0298064053618723,0.0098155368198715,0.067124092826066,1.4995602537557955,0,P-V-Ti,130.0,5.0,529.0,0.0,-0.2129912619805288,1.2794909662007472,0.0025323180909210654
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.039,1.3333333333333333,633,1,0.159,0.3975,101039c9cc08700a,UnsupportedVPO,2020,30.0,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.437488876486817,0,P-V-Ti,130.0,5.0,529.0,0.0,-0.2129912619805288,2.385665621352207,0.0010197051094221806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.039,1.3333333333333333,633,1,0.188,0.47,101039c9cc08700a,33%VPO-MCF,2020,87.0,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.882062319368061,0,P-V-Ti,130.0,5.0,529.0,0.0,-0.2129912619805288,2.88133361053542,0.012658058629423213
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,0.7323058547251898,0.0,0.0,0.0,0.0,0.133847072637405,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.039,1.3333333333333333,633,1,0.204,0.51,101039c9cc08700a,33%VPO-SilicaHP,2020,111.00553910736843,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.1273442188887466,0,P-V-Ti,130.0,5.0,529.0,0.0,-0.2129912619805288,3.171928662816303,0.007937246973983448
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.039,1.3333333333333333,633,1,0.212,0.53,101039c9cc08700a,gammaVPO-deltaVPO-3-1,2020,15.0,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.24998516864909,0,P-V-Ti,130.0,5.0,529.0,0.0,-0.2129912619805288,3.197913915695833,0.016885063133741475
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015775924799303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016818432534694,0.0967405642666003,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.5813119264746045,0.03,0.4433333333333333,633,1,0.2845499999999999,0.7113749999999999,101021acssuschemeng0c05916,1,2020,4.0,0.0849544079069042,0.0339817631627617,0.0111905224222344,0.0765270081124376,1.4504266061945768,0,P-V-Ti,153.9392036486975,4.198318156746531,253.33849251322584,0.1589880654511891,-0.3203875721758073,1.4090396416377826,0.0005279303329080948
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0447511737987761,0.0,0.0,0.1078383854360289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7447072165404055,0.1027032242247894,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.03,1.3333333333333333,633,1,0.2510936,0.627734,101039d2ra06960a,V-Ti-Nb,2023,6.532992501971227,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.84929469784296,0,P-V-Ti,153.74464769751205,4.255292783459595,269.537069029359,0.190118378173047,-0.2647007442649957,3.716067909804059,0.000989628953319133
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414603541786402,0.0,0.0,0.0,0.0,0.1082098872530035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7472727230893051,0.103057035479051,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.03,1.3333333333333333,633,1,0.2314884,0.578721,101039d2ra06960a,V-Ti-Mo,2023,6.423710884896715,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,3.548744654312774,0,P-V-Ti,153.29471460216564,4.294187631089335,265.54308851618043,0.2905619771606607,-0.146528182212916,3.2922186151945168,0.004845603670439091
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1099378604615934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7592057107098282,0.1047027242491366,0.0261537045794417,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,2.581311926474605,0.03,1.3333333333333333,633,1,0.1822952199999999,0.4557380499999999,101039d2ra06960a,V-Ti-W,2023,5.903980961578366,0.2555019786673813,0.1022007914669525,0.033655706533036,0.2301564153757525,2.794607364696334,0,P-V-Ti,153.49268173495048,4.266947993869614,271.7053073404942,0.2479941715974856,-0.1917232670943207,2.6350589442401766,0.0021347024839969853
