Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,Y_Acryl_Ac,Y_Acryl_Fa,doi,Link_to_excel,Year,SSA_m2g,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg,Cluster_n,Cluster_title,av_cov_rad,av_n_val,var_cov_rad,var_n_val,var_pca
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,0.0,0.0,,648,1,0.3279999999999999,0.82,10.1016/0021-9517(87)90285-5,,1987,23.0,,,,,,0,P-V-Ti,129.33009708737865,5.0,528.5512300876615,0.0,-0.03687100678427627
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,FORM,"MeOH 
+ H$_2$O",2.5,0.0,0.0,,623,1,0.3052,0.763,10.1016/0021-9517(87)90285-5,,1987,23.0,,,,,,0,P-V-Ti,129.33009708737865,5.0,528.5512300876615,0.0,-0.03687100678427627
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,MAc,FORM,"MeOH 
+ H$_2$O",1.825,0.0,0.0,,653,1,0.1638356164383561,0.299,10.1016/0021-9517(87)90285-5,,1987,23.0,,,,,,0,P-V-Ti,129.33009708737865,5.0,528.5512300876615,0.0,-0.03687100678427627
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.4384210526315789,0.98,10.1016/0021-9517(87)90285-5,,1987,23.0,,,,,,0,P-V-Ti,129.33009708737865,5.0,528.5512300876615,0.0,-0.03687100678427627
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.4066578947368421,0.909,10.1016/0021-9517(87)90285-5,,1987,23.0,,,,,,0,P-V-Ti,129.33009708737865,5.0,528.5512300876615,0.0,-0.03687100678427627
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,MAc,TRX,None,1.8133333333333328,0.0,0.0,,653,1,0.1996323529411764,0.362,10.1016/0021-9517(87)90285-5,,1987,23.0,,,,,,0,P-V-Ti,129.33009708737865,5.0,528.5512300876615,0.0,-0.03687100678427627
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666666,0.0,0.0,0.0416666666666666,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.3355263157894737,0.75,10.1016/0021-9517(87)90285-5,,1987,23.0,,,,,,0,P-V-Ti,128.99999999999997,4.958333333333332,590.3333333333331,0.0399305555555555,0.2431326218036933
0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666666,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.3176315789473684,0.71,10.1016/0021-9517(87)90285-5,,1987,23.0,,,,,,0,P-V-Ti,127.45833333333331,5.166666666666666,503.16493055555543,0.6388888888888878,1.7434607718712205
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454546,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.3713157894736842,0.83,10.1016/0021-9517(87)90285-5,,1987,23.0,,,,,,0,P-V-Ti,130.5,5.0,557.25,0.0,0.03954562898773625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106382978723405,0.0,0.0,0.0,0.0,0.0,0.0,0.0638297872340425,0.0,0.425531914893617,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,0.1968421052631579,0.44,10.1016/0021-9517(87)90285-5,,1987,23.0,,,,,,0,P-V-Ti,128.5531914893617,5.0638297872340425,497.22589406971485,0.05975554549569937,0.05255606499216389
