Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Siloxane,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac/Fa,Ratio_Stab/Fa,O_Percentage,LHSV__ml/h/g_,Temperature__K_,Pressure__bar_,g_cat,Fa_mmol/min,Ac_mmol/min,STY_MA+AA_(mmol/h/g)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,0,5.0,0.0,21.0,1.0,623.0,1.0,6.0,0.2516198704103672,1.258099352051836,0.5955842332613392
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,1.0,2.0,0.0,3.08,633.0,1.0,1.8,0.5757140036700523,0.5757140036700522,0.6996076572598475
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAc,FORM,0,2.5,0.0,3.0,1.333333333333333,633.0,1.0,3.0,0.3064103049153603,0.7660257622884007,0.771274570811601
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAc,FORM,0,2.5,0.0,3.0,1.333333333333333,633.0,1.0,3.0,0.3064103049153603,0.7660257622884007,0.6732217411871608
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,13.29038020513888
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,3.236708989464488
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,6.477051706276816
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,6.838899172791308
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,11.07093542974365
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,12.03544330602205
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,12.52299082227291
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,13.17401120834511
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,14.5255783384156
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.199999999999999,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,16.17609804930094
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,100.0,7.199999999999999,683.0,1.0,0.5,0.7476805242468211,0.3738402621234105,17.82231112036662
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,13.33927851142462
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,16.22015138578957
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,11.86156272330321
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,14.56074923027617
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,15.50390335078208
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,16.61322199099661
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,16.94034717396508
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,12.9917380612777
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,11.9741669991213
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,16.57934578273182
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,1.0,0.0,7.2,663.0,1.0,0.5,0.7476805242468211,0.3738402621234105,17.10723081280191
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,0,5.0,0.0,21.0,1.2,623.0,1.0,5.0,0.2516198704103672,1.258099352051836,1.037342752224622
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,0,5.0,0.0,21.0,1.2,623.0,1.0,5.0,0.2516198704103672,1.258099352051836,0.6083303095464363
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,0,5.0,0.0,21.0,1.2,623.0,1.0,5.0,0.2516198704103672,1.258099352051836,1.035357229892009
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,1.714285714285714,643.0,1.0,3.5,1.246134207078035,0.6230671035390176,2.264403873433229
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,1.714285714285714,663.0,1.0,3.5,1.246134207078035,0.6230671035390176,2.403258827936211
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,1.714285714285714,663.0,1.0,3.5,1.246134207078035,0.6230671035390176,1.506042198840025
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,1.714285714285714,663.0,1.0,3.5,1.246134207078035,0.6230671035390176,1.185607688448531
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,1.0,2.0,0.0,1.2,628.0,1.0,3.0,0.3738402621234105,0.3738402621234105,0.3794963157532329
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,0.5,0.0,0.0,1.714285714285714,663.0,1.0,3.5,1.246134207078035,0.6230671035390176,0.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,HAc,TRX,0,3.0,0.0,100.0,2.666666666666667,673.0,1.0,3.0,0.7763900453325934,2.32917013599778,3.702138292163938
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,HAc,TRX,0,3.0,0.0,100.0,2.666666666666667,673.0,1.0,3.0,0.7763900453325934,2.32917013599778,5.624765755944122
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,HAc,TRX,0,3.0,0.0,100.0,2.666666666666667,673.0,1.0,3.0,0.7763900453325934,2.32917013599778,5.479437961698586
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,HAc,TRX,0,3.0,0.0,100.0,2.666666666666667,673.0,1.0,3.0,0.7763900453325934,2.32917013599778,4.441654779239522
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MAc,TRX,MeOH,1.0,2.0,0.0,2.0,633.0,1.0,1.8,0.3738402621234106,0.3738402621234106,0.2861124139451171
