iteration,r2_score,reg__colsample_bylevel,reg__colsample_bytree,reg__gamma,reg__learning_rate,reg__max_depth,reg__min_child_weight,reg__n_estimators,reg__reg_alpha,reg__reg_lambda,reg__subsample
1,0.5675781216548282,0.7640415835413256,0.8547040101120638,1.899301998271751,0.029273475807775187,4,14,68,8.176529639332944,5.131243177255543,0.8267270559214072
2,0.5861684654066611,0.9349553422213137,0.9091603470833017,0.9551151648262625,0.2541400145361314,5,11,57,5.475111783398926,7.450103713154192,0.9337180525664277
3,0.5784832956057083,0.7779330049204607,0.9215528825842819,0.6572887378290554,0.04366013678619019,3,15,58,8.260867719383477,6.90138296123661,0.940622442192511
4,0.5880495689181098,0.9249583953429453,0.6601550464887962,1.397070616268192,0.1533843042738779,4,11,88,9.108412473169594,9.383502030548186,0.7353783424761893
5,0.5624389346613833,0.9198213766428692,0.7533102152543232,1.2899303556915387,0.11407625931280554,5,17,71,7.551988712234339,5.4715869186958,0.8307991800446837
6,0.5324658184809229,0.8936112071942273,0.9287794081609702,0.7454107679578255,0.018981345896813002,5,14,73,6.743356120847949,8.496987559997471,0.7950995212731897
7,0.5714965456008545,0.8468317434009265,0.8713775325897588,1.0385343978821058,0.19565208359558597,4,16,82,5.9545781016548816,8.13717739688164,0.8220048499001549
8,0.5792715025865427,0.817361227076125,0.9220032292530607,1.2447000553950751,0.17271105113369045,4,11,79,3.1806075953746475,5.700107136892653,0.8890810847567723
9,0.577162043496229,0.9821911945239713,0.845217505617478,1.8074778926948225,0.0411356312908673,4,12,50,5.594798413638931,7.160652395139699,0.6615672419557284
10,0.5521264860922661,0.6014521229018973,0.8862405068823129,1.611924116552041,0.023768813596649976,4,13,66,4.06816210786911,9.256866427367637,0.8846471125796072
11,0.5630168563614731,0.9859876420678476,0.6,0.6606683088960918,0.29999999999999993,3,10,95,7.326123204044576,9.434958121340685,0.6974880054094097
12,0.5832512123989686,0.6261700139490118,0.6257871833771476,1.9969047863355016,0.29999999999999993,4,16,50,7.577086536371746,4.925249946006751,0.9177980682702551
13,0.5871931916487723,0.6,0.95,0.5287257879862713,0.13916809741738143,4,20,100,3.0,3.0,0.8683817167111592
14,0.5506321180988489,0.8040879666998771,0.7165196206574352,0.9386958951291264,0.0575326046081782,5,16,100,3.7067492084185116,5.277230606258417,0.6876979584470171
15,0.43855689447852136,0.6682804476902765,0.6610013998568484,0.8839954437814244,0.01,4,18,100,8.7716026059466,3.549255348356198,0.7081457397716783
16,0.563659668778894,1.0,0.6,2.0,0.12432669813233699,3,10,50,10.0,10.0,0.8704670953348723
17,0.5663160115975261,0.6851700565377272,0.6632013039926654,0.6907552218213208,0.03819827805812471,3,16,100,10.0,10.0,0.7086399463563832
18,0.5717243813476567,0.7098980064643488,0.6545028569879185,1.9210505009050554,0.15437066433888572,5,13,100,8.828716390682878,3.526374198884338,0.8746802118030139
19,0.5236028231380503,0.6,0.7514474266117009,0.5,0.18986228785414735,3,20,50,10.0,7.1210521238576785,0.6
20,0.6010255106322193,0.6,0.95,0.5,0.18609762610897976,4,20,100,4.159069090645212,5.898612615938727,0.95
21,0.5646142055482137,0.8912404261342382,0.95,0.5,0.058366268234180174,5,20,88,3.0,10.0,0.95
22,0.589668910041347,0.6,0.95,0.5,0.13737165591939676,4,10,100,3.0,3.0,0.6
23,0.5916370353093826,0.6952013771759047,0.6,1.9387834767252525,0.29999999999999993,5,13,100,4.2983361498373105,7.712083611637153,0.95
24,0.5705336821153829,0.872712286461105,0.7897412027545723,1.6732826730391572,0.043053998610609476,5,10,100,5.751898501861531,7.473018114088417,0.95
25,0.6113352080828494,0.6,0.95,0.5,0.29999999999999993,5,20,100,3.0,10.0,0.95
26,0.5658161284957898,1.0,0.95,2.0,0.29999999999999993,3,20,100,3.0,3.0,0.95
27,0.559052854019786,0.6,0.95,0.5,0.11994702767235402,3,10,90,10.0,10.0,0.7650714012141163
28,0.5892898099887338,1.0,0.9419872949831928,0.6609733086242937,0.14020245454758723,3,10,100,3.0,10.0,0.850142118010763
29,0.5806400652491714,0.6,0.95,1.313786790623281,0.29999999999999993,4,18,77,3.0,3.7078588723197536,0.840798518116967
30,0.5262031796638469,0.6,0.8248769363413515,0.5,0.036805937364461735,5,18,50,10.0,8.26833562968219,0.6383697094182087
31,0.5900760109127163,1.0,0.95,0.5,0.14774736628689886,5,10,100,3.0,10.0,0.6
32,0.6014181564996063,1.0,0.8358629295616434,0.6693564605626826,0.29999999999999993,5,20,76,10.0,3.718002590959657,0.95
33,0.5851183465978373,0.7628549904072942,0.6,2.0,0.16069988392319137,5,10,100,3.0,3.0,0.6
34,0.5929761107441257,1.0,0.95,0.5,0.29999999999999993,5,10,100,10.0,10.0,0.6
35,0.5737366580870725,1.0,0.95,1.646246923151455,0.040086538712876825,3,10,100,3.0,3.0,0.95
36,0.5856411605554215,1.0,0.6253368239914133,2.0,0.21904800678013486,5,20,53,3.0,3.0,0.95
37,0.5783350545273286,1.0,0.8155623634000626,0.672710066558678,0.06653940294300323,3,20,100,3.0,6.9476423333600765,0.95
38,0.5593500896660457,1.0,0.8429004532360915,0.6003709332234182,0.08008143992346807,4,10,100,9.646974470356787,6.969820782113793,0.6
39,0.5801032358812234,1.0,0.7555309235872868,2.0,0.05525145709110415,3,14,50,3.0,8.880559522192534,0.95
40,0.5967657880557279,1.0,0.6,0.5,0.29999999999999993,5,20,100,3.0,3.0,0.95
41,0.5881755066345399,0.6,0.6,0.5,0.29999999999999993,5,20,100,10.0,3.0,0.95
42,0.5056575303471194,0.6471659988335293,0.95,0.7091566438548271,0.29999999999999993,5,20,62,3.0,5.61648919916233,0.6
