iteration,r2_score,reg__colsample_bylevel,reg__colsample_bytree,reg__gamma,reg__learning_rate,reg__max_depth,reg__min_child_weight,reg__n_estimators,reg__reg_alpha,reg__reg_lambda,reg__subsample
1,0.6474216208223103,0.7640415835413256,0.8547040101120638,1.899301998271751,0.029273475807775187,4,14,68,8.176529639332944,5.131243177255543,0.8267270559214072
2,0.7260611932582106,0.9349553422213137,0.9091603470833017,0.9551151648262625,0.2541400145361314,5,11,57,5.475111783398926,7.450103713154192,0.9337180525664277
3,0.6729834566972387,0.7779330049204607,0.9215528825842819,0.6572887378290554,0.04366013678619019,3,15,58,8.260867719383477,6.90138296123661,0.940622442192511
4,0.7207814765936119,0.9249583953429453,0.6601550464887962,1.397070616268192,0.1533843042738779,4,11,88,9.108412473169594,9.383502030548186,0.7353783424761893
5,0.7167353752862224,0.9198213766428692,0.7533102152543232,1.2899303556915387,0.11407625931280554,5,17,71,7.551988712234339,5.4715869186958,0.8307991800446837
6,0.577492857956866,0.8936112071942273,0.9287794081609702,0.7454107679578255,0.018981345896813002,5,14,73,6.743356120847949,8.496987559997471,0.7950995212731897
7,0.7227478088107698,0.8468317434009265,0.8713775325897588,1.0385343978821058,0.19565208359558597,4,16,82,5.9545781016548816,8.13717739688164,0.8220048499001549
8,0.7307593678196638,0.817361227076125,0.9220032292530607,1.2447000553950751,0.17271105113369045,4,11,79,3.1806075953746475,5.700107136892653,0.8890810847567723
9,0.6429652501987898,0.9821911945239713,0.845217505617478,1.8074778926948225,0.0411356312908673,4,12,50,5.594798413638931,7.160652395139699,0.6615672419557284
10,0.5947449588720954,0.6014521229018973,0.8862405068823129,1.611924116552041,0.023768813596649976,4,13,66,4.06816210786911,9.256866427367637,0.8846471125796072
11,0.7096028209492642,0.6,0.6,1.1527223016037929,0.29999999999999993,3,10,100,10.0,3.0,0.6
12,0.7218107901902644,0.6,0.6,0.5,0.1431488344179705,3,10,100,9.622471372973365,3.0,0.95
13,0.7138569459204479,0.6,0.95,2.0,0.14273746674489948,3,10,94,3.0,8.892657227835976,0.95
14,0.7265264973714622,1.0,0.95,0.5,0.29999999999999993,3,10,50,3.0,10.0,0.6
15,0.7240212586250837,1.0,0.7589815101302082,2.0,0.29999999999999993,4,20,79,3.0,3.633829271572442,0.95
16,0.7361708732889642,0.6,0.6,0.5,0.29999999999999993,3,10,100,3.0,10.0,0.6
17,0.7046020829343069,1.0,0.95,0.5,0.13205957587694467,3,10,50,10.0,3.0,0.95
18,0.7262496608577713,0.6,0.6,2.0,0.29999999999999993,3,10,100,6.99020017001505,7.294404453194396,0.6
19,0.7342294502755091,0.6,0.6,0.5,0.22084997231960565,5,10,69,3.0,4.342031674586511,0.8519677740640877
20,0.7422513866618251,0.6,0.6,0.5,0.29999999999999993,5,10,100,3.0,10.0,0.6
21,0.714312808166399,0.6,0.6,0.5,0.29999999999999993,5,10,100,10.0,10.0,0.95
22,0.7343632587918222,1.0,0.896914056786485,1.6881308175073124,0.18017046115024585,5,10,100,3.0,5.5625901030463485,0.6
23,0.6664866885120857,0.6357256990867156,0.6,1.9717232970163145,0.11484873830826386,5,20,59,3.0,3.0,0.6385007539968038
24,0.725638432296249,0.9297025874553642,0.898495868199573,2.0,0.2290614037004437,5,10,100,3.994257154899415,10.0,0.95
25,0.7097007315413411,0.785342299004089,0.6,1.123581170422348,0.08018097075434663,5,10,97,10.0,4.744906022788159,0.7900097273784169
26,0.7455263143363015,0.6448569210619137,0.6,0.5,0.1656831375423487,5,10,89,5.420831363249216,3.0,0.7112382753110922
27,0.4107832491169029,0.9009535996761999,0.6,0.9851866039319102,0.01,3,10,70,10.0,5.425087590438363,0.7985738074973443
28,0.7405286080190889,1.0,0.6,0.5,0.17420831616017066,5,10,100,4.459869414040776,3.0,0.7584364643999453
29,0.7203704428555945,0.7402991803507933,0.6528822492871242,0.51229465469317,0.2064879914449114,5,10,92,8.567696364318707,3.876400189413798,0.6971418532528435
30,0.7244123538856557,0.6,0.6,0.7492830948319475,0.1477840068467366,5,10,100,6.627653011537579,5.644825963670551,0.6139362707362385
31,0.7257187925348213,1.0,0.6,2.0,0.29999999999999993,5,14,100,3.0,3.0,0.6
32,0.7323224956082904,0.9571846006020144,0.6,0.5,0.21162378274951893,4,10,100,3.0,3.0,0.708836223405173
33,0.6430791060076241,0.6747741044133927,0.7497531685528052,0.5723877844564053,0.040887625889052134,5,20,100,10.0,3.0,0.6327530904655398
34,0.7180425308308287,0.6,0.6,1.9969024906389712,0.11760409758130348,5,13,100,3.0,3.0,0.6
35,0.6528362029525161,0.6,0.6,0.5,0.29999999999999993,5,20,100,10.0,3.0,0.6
36,0.7264174759326416,0.6,0.6,2.0,0.16104531186635349,5,15,100,3.0,3.0,0.95
37,0.7385850327495191,0.6,0.95,2.0,0.29999999999999993,5,10,100,3.0,3.0,0.7291859145535997
38,0.7293526350708349,1.0,0.6,2.0,0.29999999999999993,5,10,78,3.0,10.0,0.95
39,0.7043260294289551,0.6511720873990965,0.6513828724628662,1.9547121141360062,0.12643571351873895,5,20,71,9.478402677806741,3.2589150161560796,0.9304740778442409
40,0.7219371449866012,0.6464622414675595,0.703428773257492,1.640858934798293,0.2929752019478621,3,15,79,4.188180613835931,7.553196916946871,0.9246970828444868
41,0.7173221549487325,1.0,0.6,2.0,0.12241240352539721,5,10,81,5.913766024739955,3.0,0.8722457149380727
42,0.7152080378542804,0.6,0.6,0.5,0.10325747304517038,5,15,100,10.0,3.0,0.8832400710488162
43,0.6986058695192462,0.6200692696850861,0.6974102424775316,1.1751450723183607,0.05158486242098696,3,20,97,4.125836961506398,4.283576100574521,0.9267916337568711
44,0.7397090772727632,1.0,0.6,0.5,0.29999999999999993,5,12,100,3.0,10.0,0.7758667883753123
45,0.739909739895767,0.6,0.6,0.5,0.2040735312558361,5,10,100,3.0,10.0,0.7266921480248276
46,0.3631946180306079,0.6866650265159392,0.6005197861136051,1.8709624051620195,0.012060190906890965,3,20,58,7.222387550303715,9.674557151169955,0.9483788381904992
47,0.7197303076802936,1.0,0.95,0.5,0.04769779059616107,5,10,100,3.0,3.0,0.95
48,0.744650993274522,0.6257855469374147,0.95,0.5,0.1323558116080142,5,10,100,3.0,9.270163404147807,0.7412974610233674
49,0.7373506979282656,1.0,0.95,0.5,0.13862414990394112,5,10,100,3.0,3.0,0.7395531962093829
50,0.7306858849818287,1.0,0.6,2.0,0.29999999999999993,5,10,100,3.0,10.0,0.6729178237871472
51,0.7328375543825145,0.6,0.95,1.6076788235686883,0.16254057723065263,5,10,100,3.0,3.0,0.7481968435569173
52,0.7292609683332962,1.0,0.6,0.5,0.29999999999999993,3,10,50,3.0,3.0,0.80161671743348
53,0.7340410580689299,0.6,0.95,0.5,0.12865523135088588,5,20,100,3.0,3.0,0.95
54,0.705973890980255,0.6,0.95,0.5,0.29999999999999993,5,10,50,10.0,3.0,0.95
55,0.7327330933222533,1.0,0.6,0.5,0.20275374316444322,5,20,100,3.0,3.0,0.95
