iteration,r2_score,reg__colsample_bytree,reg__gamma,reg__learning_rate,reg__max_depth,reg__min_child_weight,reg__n_estimators,reg__reg_alpha,reg__reg_lambda,reg__subsample
1,0.5560746030204451,0.9767257370670852,6.2965277224214535,0.0015231143285507258,6,8,948,2.311106649137908,5.452520779828543,0.6665436495542307
2,0.5307686492719044,0.6526210300281013,2.7156923904369563,0.0024286891141470277,8,9,723,7.763963796914658,8.345589634581673,0.6620667473549529
3,0.5815789811619622,0.6257372620182412,6.903639498721178,0.002120880943200997,3,3,716,7.807762545634798,3.865068487239295,0.7075223893124016
4,0.6803647039194776,0.7306862765274604,8.612812722745645,0.029244297723335075,3,5,316,9.129460117816606,1.1788519821326662,0.8876143351691062
5,0.21508733905751543,0.9406378794839951,0.12769311527453311,0.0012833833118571728,7,2,254,1.6301562307321051,4.220623288364695,0.7028489496362561
6,0.6150979438348123,0.8766362877417055,9.380987052667015,0.008975413166087748,6,8,318,8.94040854424637,2.8223537822280824,0.5280004839797341
7,0.6806083999885294,0.967017968945318,3.2460478272267927,0.025758590586714373,4,4,633,2.446906370938837,1.6630480497134161,0.8151273895777682
8,0.685413122753048,0.9934024330333532,0.33065917756939905,0.32675577208369677,6,1,891,1.5033766155417974,7.0632330870412074,0.527349915783572
9,0.6129037273990194,0.8638071148774533,9.19087416271264,0.0018365857748677053,7,7,903,4.237078642586609,2.822761629103254,0.9430453595515915
10,0.6927115433061726,0.7064017215309855,0.04758684270705361,0.24865417801819298,7,2,899,1.593939846282081,0.118541998299907,0.5280131716987368
11,0.6708224317160024,0.5,8.171828648436689,0.0418263056293643,2,1,626,8.879803621695077,0.0,1.0
12,0.6353577689740939,0.7335793247346258,0.0,0.30799538548359495,7,10,100,0.0,0.0,0.8483890477662324
13,0.6652644094710404,1.0,10.0,0.038886200764109896,2,10,1000,0.0,0.0,0.5
14,0.5122722961501809,0.5,10.0,1.0,8,10,100,10.0,0.0,0.5
15,0.7333196358539849,0.9415649641369969,0.0,0.028179165385859517,2,1,1000,10.0,10.0,0.5
16,0.6629771113873337,0.7321461105915361,10.0,0.00784969694765058,2,1,1000,10.0,8.852522209225048,0.5
17,0.7079464992274145,1.0,0.0,0.049685667341202625,2,10,1000,8.706320393418746,10.0,1.0
18,0.7474602706876393,0.8768530474079286,0.0,0.10502131016958206,2,3,506,10.0,10.0,0.5
19,0.45433538065983176,0.5,10.0,1.0,2,1,1000,10.0,0.0,0.5
20,0.7020606389937531,1.0,0.0,0.06573625019614869,4,2,100,10.0,10.0,0.5
21,0.7246536308823386,0.9169894977884516,0.0,0.053528486279844946,8,10,645,10.0,10.0,0.5
22,0.6856827155097878,1.0,3.9115541479311036,0.10419663414491084,2,6,275,10.0,9.474214988249294,0.5
23,0.6919761928312497,0.89650349173146,10.0,0.06360398326830224,2,1,100,0.0,10.0,0.7391994626045336
24,0.7792877181142877,0.8541601902435201,0.0,0.09872249443947073,8,1,785,10.0,5.988908757782837,0.5
25,0.7335188797135992,1.0,0.0,0.16453363819784275,8,1,1000,10.0,1.6117097070453779,0.5
26,0.7772092700849439,0.5738015404443201,0.0,0.045819927820968664,8,1,1000,10.0,10.0,0.5
27,0.7181129358320805,0.6606564730228504,0.0,1.0,3,1,100,3.519784117052756,10.0,0.5
28,0.7735514770299138,0.7603650826849895,0.0,0.0705999955658998,8,1,1000,7.954308731811363,10.0,0.5
29,0.7725960052884354,0.5,0.0,0.0638867149184686,8,1,538,10.0,9.346867552686165,0.5
30,0.7006012893042721,0.8556805378970342,0.0,0.07152375484343822,8,1,717,1.136907381047876,2.520198673162727,1.0
31,0.7740127797969609,0.5,0.0,0.06745511907466127,8,1,834,10.0,10.0,0.5
32,0.7373982220216357,0.5,0.0,0.42602935074032433,8,1,100,10.0,10.0,0.5907181902137084
33,0.71165013109304,0.5,2.11339412693842,0.04126986133017874,8,1,1000,8.77564541361478,2.8619023817741143,1.0
34,0.7686179994228419,0.5,0.0,0.07207705159979212,8,1,1000,10.0,6.418856872979612,0.5
35,0.7354021249326779,1.0,0.0,0.12501496387276648,8,1,533,0.0,10.0,0.5
36,0.651862829519884,0.8968793665368504,6.602919896950797,0.011032822919970571,8,10,1000,10.0,3.5211856818709784,1.0
37,0.7228857741050897,0.5,0.0,0.03400285353702248,2,10,1000,4.5699142112134385,0.0,0.5
38,0.7301881883679093,0.5361711511970193,5.2171087391613025,0.031618000901744575,4,4,136,0.8979650614098112,0.3013814158394102,0.506194127266841
39,0.7374737734687473,0.5,0.0,0.10908302094152823,8,1,100,10.0,10.0,0.5
40,0.7517655062923719,0.5,2.309389539613493,0.05407251787549852,5,1,753,10.0,10.0,0.5
41,0.6401321362334691,0.5,10.0,0.005083920872019094,8,10,1000,0.0,10.0,0.5
42,0.7275680484615044,0.5058805590266292,0.2867808097425703,0.9633542436815411,8,4,726,3.694221415849906,3.1094171391819008,0.9799637273824677
43,0.7385810031422005,0.5,0.0,1.0,8,1,707,10.0,10.0,0.5
44,0.714306618622594,0.5,0.0,1.0,8,1,252,10.0,10.0,1.0
45,0.7302406118129262,1.0,0.0,1.0,8,1,1000,10.0,10.0,1.0
46,0.6866565487693407,0.5,0.0,1.0,8,10,1000,10.0,10.0,0.5
47,0.7128820090858133,0.5282937587971656,7.77305890280485,0.03339239531787921,4,1,434,9.287063065840998,5.847696415486471,0.5457847559733269
48,0.7429138448156127,1.0,0.0,0.05930520837616152,8,1,1000,10.0,0.0,0.5
49,0.7729931195485145,0.5,0.0,0.09851732768448465,8,1,846,10.0,10.0,0.5
50,0.7549343367591316,0.5,0.0,0.055030037077963306,6,1,1000,0.0,10.0,0.5
51,0.6411677788480804,0.5,10.0,0.02663713832462604,7,1,100,0.0,10.0,0.5
52,0.7366341022196095,0.5,2.747242975928704,1.0,8,1,100,10.0,10.0,0.5
53,0.6779231336796347,0.5,2.4281863749736012,1.0,8,1,1000,10.0,10.0,1.0
